Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN
5090320012511.5,,,0003,0014,0290,ALT OLYMPUS 5 SHOE Black/Black 11.5,EACH,ALT,1,1,S,,U,196246301763
5090320012512,,,0003,0014,0290,ALT OLYMPUS 5 SHOE Black/Black 12,EACH,ALT,1,1,S,,U,196246302050
5090320012512.5,,,0003,0014,0290,ALT OLYMPUS 5 SHOE Black/Black 12.5,EACH,ALT,1,1,S,,U,196246302333
509032001259,,,0003,0014,0290,ALT OLYMPUS 5 SHOE Black/Black 9,EACH,ALT,1,1,S,,U,196246300308
509032001259.5,,,0003,0014,0290,ALT OLYMPUS 5 SHOE Black/Black 9.5,EACH,ALT,1,1,S,,U,196246300612
509034007247.5,,,0003,0013,0036,ALT OLYMPUS 5 HIKE MID GTX W Sand 7.5,EACH,ALT,2,2,S,,U,196249293324
509034007248,,,0003,0013,0036,ALT OLYMPUS 5 HIKE MID GTX W Sand 8,EACH,ALT,1,1,S,,U,196249293508
509034007249,,,0003,0013,0036,ALT OLYMPUS 5 HIKE MID GTX W Sand 9,EACH,ALT,1,1,S,,U,196249293942
5090350039610,,,0003,0014,0038,ALT OLYMPUS 5 HIKE LOW GTX W GREY/BLACK 10,EACH,ALT,2,2,S,,U,196246306546
5090350039610.5,,,0003,0014,0038,ALT OLYMPUS 5 HIKE LOW GTX W GREY/BLACK 10.5,EACH,ALT,2,2,S,,U,196246306683
509035003967,,,0003,0014,0038,ALT OLYMPUS 5 HIKE LOW GTX W GREY/BLACK 7,EACH,ALT,1,1,S,,U,196246305457
509035003967.5,,,0003,0014,0038,ALT OLYMPUS 5 HIKE LOW GTX W GREY/BLACK 7.5,EACH,ALT,1,1,S,,U,196246305877
509035003968,,,0003,0014,0038,ALT OLYMPUS 5 HIKE LOW GTX W GREY/BLACK 8,EACH,ALT,1,1,S,,U,196246306034
509035003968.5,,,0003,0014,0038,ALT OLYMPUS 5 HIKE LOW GTX W GREY/BLACK 8.5,EACH,ALT,2,2,S,,U,196246306133
509035003969,,,0003,0014,0038,ALT OLYMPUS 5 HIKE LOW GTX W GREY/BLACK 9,EACH,ALT,2,2,S,,U,196246306263
5090360066610,,,0003,0014,0290,ALT OLYMPUS 5 SHOE W Purple/Orange 10,EACH,ALT,1,1,S,,U,196573084940
5090360066610.5,,,0003,0014,0290,ALT OLYMPUS 5 SHOE W Purple/Orange 10.5,EACH,ALT,1,1,S,,U,196573085022
509036006667,,,0003,0014,0290,ALT OLYMPUS 5 SHOE W Purple/Orange 7,EACH,ALT,1,1,S,,U,196573084087
